,value
2021-02-02 03:02:16,69
2021-02-02 03:02:31,68
2021-02-02 03:02:36,69
2021-02-02 03:02:46,70
2021-02-02 03:02:51,71
2021-02-02 03:02:56,73
2021-02-02 03:03:11,73
2021-02-02 03:03:16,72
2021-02-02 03:03:21,71
2021-02-02 03:03:26,70
2021-02-02 03:03:41,71
2021-02-02 03:03:51,73
2021-02-02 03:03:56,72
2021-02-02 03:04:06,71
2021-02-02 03:04:11,70
2021-02-02 03:04:16,69
2021-02-02 03:04:26,72
2021-02-02 03:04:31,73
2021-02-02 03:04:36,72
2021-02-02 03:04:41,67
2021-02-02 03:04:46,65
2021-02-02 03:04:56,66
2021-02-02 03:05:01,67
2021-02-02 03:05:11,69
2021-02-02 03:05:16,70
2021-02-02 03:05:26,70
2021-02-02 03:05:31,69
2021-02-02 03:05:36,69
2021-02-02 03:05:41,70
2021-02-02 03:05:46,68
2021-02-02 03:06:01,68
2021-02-02 03:06:16,68
2021-02-02 03:06:31,68
2021-02-02 03:06:41,68
2021-02-02 03:06:51,69
2021-02-02 03:07:01,70
2021-02-02 03:07:16,71
2021-02-02 03:07:21,72
2021-02-02 03:07:26,72
2021-02-02 03:07:31,74
2021-02-02 03:07:36,75
2021-02-02 03:07:51,76
2021-02-02 03:07:56,78
2021-02-02 03:08:01,76
2021-02-02 03:08:06,73
2021-02-02 03:08:11,69
2021-02-02 03:08:16,67
2021-02-02 03:08:31,68
2021-02-02 03:08:36,68
2021-02-02 03:08:41,69
2021-02-02 03:08:46,75
2021-02-02 03:08:51,80
2021-02-02 03:08:56,78
2021-02-02 03:09:01,76
2021-02-02 03:09:08,77
2021-02-02 03:09:13,75
2021-02-02 03:09:18,72
2021-02-02 03:09:23,68
2021-02-02 03:09:28,65
2021-02-02 03:09:33,66
2021-02-02 03:09:43,66
2021-02-02 03:09:48,67
2021-02-02 03:09:53,68
2021-02-02 03:10:03,70
2021-02-02 03:10:08,69
2021-02-02 03:10:13,68
2021-02-02 03:10:18,68
2021-02-02 03:10:23,69
2021-02-02 03:10:28,71
2021-02-02 03:10:38,72
2021-02-02 03:10:43,73
2021-02-02 03:10:48,75
2021-02-02 03:10:53,80
2021-02-02 03:10:58,82
2021-02-02 03:11:13,82
2021-02-02 03:11:18,79
2021-02-02 03:11:23,78
2021-02-02 03:11:28,77
2021-02-02 03:11:33,70
2021-02-02 03:11:38,68
2021-02-02 03:11:53,68
2021-02-02 03:11:54,68
2021-02-02 03:11:59,71
2021-02-02 03:12:09,72
2021-02-02 03:12:14,72
2021-02-02 03:12:19,68
2021-02-02 03:12:29,70
2021-02-02 03:12:34,78
2021-02-02 03:12:39,79
2021-02-02 03:12:44,77
2021-02-02 03:12:49,76
2021-02-02 03:12:54,72
2021-02-02 03:12:59,68
2021-02-02 03:13:04,67
2021-02-02 03:13:19,67
2021-02-02 03:13:24,66
2021-02-02 03:13:29,66
2021-02-02 03:13:34,68
2021-02-02 03:13:39,71
2021-02-02 03:13:44,72
2021-02-02 03:13:49,70
2021-02-02 03:13:54,71
2021-02-02 03:13:59,75
2021-02-02 03:14:04,76
2021-02-02 03:14:09,74
2021-02-02 03:14:18,70
2021-02-02 03:14:23,65
2021-02-02 03:14:33,64
2021-02-02 03:14:43,63
2021-02-02 03:14:53,64
2021-02-02 03:15:03,65
2021-02-02 03:15:08,66
2021-02-02 03:15:13,73
2021-02-02 03:15:18,74
2021-02-02 03:15:23,72
2021-02-02 03:15:28,69
2021-02-02 03:15:33,67
2021-02-02 03:15:43,69
2021-02-02 03:15:48,71
2021-02-02 03:15:58,68
2021-02-02 03:16:03,67
2021-02-02 03:16:13,68
2021-02-02 03:16:28,68
2021-02-02 03:16:33,68
2021-02-02 03:16:43,70
2021-02-02 03:16:48,71
2021-02-02 03:16:53,73
2021-02-02 03:17:08,74
2021-02-02 03:17:23,73
2021-02-02 03:17:33,73
2021-02-02 03:17:43,74
2021-02-02 03:17:48,72
2021-02-02 03:17:53,71
2021-02-02 03:18:03,70
2021-02-02 03:18:08,70
2021-02-02 03:18:13,70
2021-02-02 03:18:23,71
2021-02-02 03:18:28,74
2021-02-02 03:18:33,76
2021-02-02 03:18:48,76
2021-02-02 03:18:53,77
2021-02-02 03:18:58,78
2021-02-02 03:19:03,78
2021-02-02 03:19:08,79
2021-02-02 03:19:13,80
2021-02-02 03:19:28,80
2021-02-02 03:19:43,79
2021-02-02 03:19:48,75
2021-02-02 03:19:53,69
2021-02-02 03:19:58,68
2021-02-02 03:20:03,68
2021-02-02 03:20:08,66
2021-02-02 03:20:13,65
2021-02-02 03:20:18,66
2021-02-02 03:20:28,68
2021-02-02 03:20:33,69
2021-02-02 03:20:38,70
2021-02-02 03:20:43,71
2021-02-02 03:20:48,70
2021-02-02 03:20:53,67
2021-02-02 03:20:58,64
2021-02-02 03:21:03,63
2021-02-02 03:21:08,62
2021-02-02 03:21:13,63
2021-02-02 03:21:23,62
