,value
2021-02-02 00:20:11,70
2021-02-02 00:20:26,70
2021-02-02 00:20:31,72
2021-02-02 00:20:36,79
2021-02-02 00:20:41,81
2021-02-02 00:20:46,80
2021-02-02 00:20:51,77
2021-02-02 00:20:56,75
2021-02-02 00:21:01,76
2021-02-02 00:21:06,77
2021-02-02 00:21:11,78
2021-02-02 00:21:16,79
2021-02-02 00:21:26,78
2021-02-02 00:21:31,77
2021-02-02 00:21:41,75
2021-02-02 00:21:46,72
2021-02-02 00:21:51,70
2021-02-02 00:21:56,68
2021-02-02 00:22:01,65
2021-02-02 00:22:16,65
2021-02-02 00:22:21,66
2021-02-02 00:22:36,66
2021-02-02 00:22:51,66
2021-02-02 00:23:06,66
2021-02-02 00:23:16,67
2021-02-02 00:23:21,66
2021-02-02 00:23:26,65
2021-02-02 00:23:31,62
2021-02-02 00:23:36,60
2021-02-02 00:23:41,57
2021-02-02 00:23:46,56
2021-02-02 00:23:56,57
2021-02-02 00:24:01,61
2021-02-02 00:24:06,63
2021-02-02 00:24:21,64
2021-02-02 00:24:36,63
2021-02-02 00:24:41,60
2021-02-02 00:24:56,59
2021-02-02 00:25:01,58
2021-02-02 00:25:16,58
2021-02-02 00:25:31,60
2021-02-02 00:25:36,61
2021-02-02 00:25:51,62
2021-02-02 00:25:56,61
2021-02-02 00:26:01,58
2021-02-02 00:26:06,57
2021-02-02 00:26:11,56
2021-02-02 00:26:16,58
2021-02-02 00:26:31,58
2021-02-02 00:26:36,57
2021-02-02 00:26:41,58
2021-02-02 00:26:56,58
2021-02-02 00:27:11,59
2021-02-02 00:27:26,59
2021-02-02 00:27:31,59
2021-02-02 00:27:41,60
2021-02-02 00:27:46,62
2021-02-02 00:27:56,62
2021-02-02 00:28:01,62
2021-02-02 00:28:06,60
2021-02-02 00:28:16,59
2021-02-02 00:28:21,58
2021-02-02 00:28:36,57
2021-02-02 00:28:41,56
2021-02-02 00:28:46,55
2021-02-02 00:29:01,55
2021-02-02 00:29:11,57
2021-02-02 00:29:26,57
2021-02-02 00:29:41,57
2021-02-02 00:29:46,56
2021-02-02 00:29:56,54
2021-02-02 00:30:06,55
2021-02-02 00:30:11,56
2021-02-02 00:30:16,57
2021-02-02 00:30:26,56
2021-02-02 00:30:31,55
2021-02-02 00:30:41,57
2021-02-02 00:30:56,61
2021-02-02 00:31:11,62
2021-02-02 00:31:21,61
2021-02-02 00:31:26,63
2021-02-02 00:31:31,64
2021-02-02 00:31:36,65
2021-02-02 00:31:46,66
2021-02-02 00:31:51,65
2021-02-02 00:32:06,65
2021-02-02 00:32:16,64
2021-02-02 00:32:21,63
2021-02-02 00:32:26,64
2021-02-02 00:32:36,65
2021-02-02 00:32:46,66
2021-02-02 00:33:01,65
2021-02-02 00:33:11,62
2021-02-02 00:33:16,59
2021-02-02 00:33:21,57
2021-02-02 00:33:26,56
2021-02-02 00:33:36,57
2021-02-02 00:33:51,57
2021-02-02 00:34:01,59
2021-02-02 00:34:06,61
2021-02-02 00:34:21,61
2021-02-02 00:34:26,59
2021-02-02 00:34:36,60
2021-02-02 00:34:51,60
2021-02-02 00:35:01,59
2021-02-02 00:35:11,58
2021-02-02 00:35:18,59
2021-02-02 00:35:23,61
2021-02-02 00:35:28,62
2021-02-02 00:35:33,63
2021-02-02 00:35:43,62
2021-02-02 00:35:53,60
2021-02-02 00:36:08,60
2021-02-02 00:36:13,59
2021-02-02 00:36:28,59
2021-02-02 00:36:43,58
2021-02-02 00:36:58,59
2021-02-02 00:37:13,59
2021-02-02 00:37:28,60
2021-02-02 00:37:43,62
2021-02-02 00:37:58,62
2021-02-02 00:38:08,59
2021-02-02 00:38:13,61
2021-02-02 00:38:18,63
2021-02-02 00:38:23,65
2021-02-02 00:38:33,66
2021-02-02 00:38:38,68
2021-02-02 00:38:48,69
2021-02-02 00:38:57,73
2021-02-02 00:39:02,72
2021-02-02 00:39:07,71
2021-02-02 00:39:12,69
2021-02-02 00:39:17,65
2021-02-02 00:39:32,65
2021-02-02 00:39:42,64
2021-02-02 00:39:47,63
2021-02-02 00:39:57,64
2021-02-02 00:40:02,65
2021-02-02 00:40:07,66
2021-02-02 00:40:12,65
2021-02-02 00:40:17,66
2021-02-02 00:40:22,65
2021-02-02 00:40:27,66
2021-02-02 00:40:37,65
2021-02-02 00:40:42,64
2021-02-02 00:40:47,63
2021-02-02 00:41:02,63
2021-02-02 00:41:12,57
2021-02-02 00:41:17,57
2021-02-02 00:41:32,58
2021-02-02 00:41:37,59
2021-02-02 00:41:42,60
2021-02-02 00:41:52,58
2021-02-02 00:42:02,57
2021-02-02 00:42:07,56
2021-02-02 00:42:12,55
2021-02-02 00:42:27,57
2021-02-02 00:42:37,56
2021-02-02 00:42:42,55
2021-02-02 00:42:57,55
2021-02-02 00:43:12,54
2021-02-02 00:43:17,53
2021-02-02 00:43:22,54
2021-02-02 00:43:32,55
2021-02-02 00:43:47,55
2021-02-02 00:43:57,56
2021-02-02 00:44:07,57
2021-02-02 00:44:12,58
2021-02-02 00:44:17,57
2021-02-02 00:44:27,58
2021-02-02 00:44:42,58
2021-02-02 00:44:47,56
2021-02-02 00:45:02,55
2021-02-02 00:45:17,55
2021-02-02 00:45:22,56
2021-02-02 00:45:32,55
2021-02-02 00:45:37,54
2021-02-02 00:45:42,55
2021-02-02 00:45:52,54
2021-02-02 00:46:02,55
2021-02-02 00:46:12,56
2021-02-02 00:46:27,57
2021-02-02 00:46:32,57
2021-02-02 00:46:47,57
2021-02-02 00:47:02,57
2021-02-02 00:47:07,56
2021-02-02 00:47:12,55
2021-02-02 00:47:27,55
2021-02-02 00:47:32,56
2021-02-02 00:47:37,55
2021-02-02 00:47:42,56
2021-02-02 00:47:47,54
2021-02-02 00:47:52,53
2021-02-02 00:47:57,54
2021-02-02 00:48:02,53
2021-02-02 00:48:07,54
2021-02-02 00:48:12,55
2021-02-02 00:48:17,56
2021-02-02 00:48:22,55
2021-02-02 00:48:27,54
2021-02-02 00:48:32,56
2021-02-02 00:48:37,57
2021-02-02 00:48:52,59
2021-02-02 00:48:57,60
2021-02-02 00:49:12,67
2021-02-02 00:49:17,69
2021-02-02 00:49:22,70
2021-02-02 00:49:27,69
2021-02-02 00:49:37,65
2021-02-02 00:49:42,61
2021-02-02 00:49:52,60
2021-02-02 00:49:57,59
2021-02-02 00:50:02,58
2021-02-02 00:50:17,58
2021-02-02 00:50:32,58
2021-02-02 00:50:37,57
2021-02-02 00:50:52,57
2021-02-02 00:50:57,58
2021-02-02 00:51:12,58
2021-02-02 00:51:17,59
2021-02-02 00:51:22,60
2021-02-02 00:51:27,61
2021-02-02 00:51:32,59
2021-02-02 00:51:42,58
2021-02-02 00:51:57,58
2021-02-02 00:52:02,59
2021-02-02 00:52:17,59
2021-02-02 00:52:22,60
2021-02-02 00:52:37,61
2021-02-02 00:52:52,62
2021-02-02 00:53:02,63
2021-02-02 00:53:07,64
2021-02-02 00:53:12,63
