,value
2021-02-02 00:39:09,67
2021-02-02 00:39:14,65
2021-02-02 00:39:19,64
2021-02-02 00:39:34,64
2021-02-02 00:39:39,63
2021-02-02 00:39:44,64
2021-02-02 00:39:49,63
2021-02-02 00:40:04,62
2021-02-02 00:40:19,63
2021-02-02 00:40:24,62
2021-02-02 00:40:39,62
2021-02-02 00:40:49,63
2021-02-02 00:40:54,66
2021-02-02 00:40:59,69
2021-02-02 00:41:04,71
2021-02-02 00:41:09,72
2021-02-02 00:41:14,71
2021-02-02 00:41:29,71
2021-02-02 00:41:39,71
2021-02-02 00:41:44,69
2021-02-02 00:41:49,68
2021-02-02 00:41:59,70
2021-02-02 00:42:04,71
2021-02-02 00:42:14,68
2021-02-02 00:42:19,62
2021-02-02 00:42:24,61
2021-02-02 00:42:31,62
2021-02-02 00:42:36,64
2021-02-02 00:42:41,67
2021-02-02 00:42:46,68
2021-02-02 00:42:51,69
2021-02-02 00:42:56,70
2021-02-02 00:43:11,70
2021-02-02 00:43:21,72
2021-02-02 00:43:26,82
2021-02-02 00:43:31,83
2021-02-02 00:43:41,76
2021-02-02 00:43:46,72
2021-02-02 00:43:51,67
2021-02-02 00:43:56,65
2021-02-02 00:44:01,64
2021-02-02 00:44:06,63
2021-02-02 00:44:11,65
2021-02-02 00:44:26,67
2021-02-02 00:44:41,69
2021-02-02 00:44:46,68
2021-02-02 00:45:01,67
2021-02-02 00:45:11,65
2021-02-02 00:45:16,64
2021-02-02 00:45:21,63
2021-02-02 00:45:31,63
2021-02-02 00:45:36,64
2021-02-02 00:45:41,71
2021-02-02 00:45:46,74
2021-02-02 00:45:51,73
2021-02-02 00:46:06,73
2021-02-02 00:46:11,74
2021-02-02 00:46:16,73
2021-02-02 00:46:31,74
2021-02-02 00:46:36,75
2021-02-02 00:46:51,75
2021-02-02 00:47:06,75
2021-02-02 00:47:11,74
2021-02-02 00:47:16,73
2021-02-02 00:47:21,74
2021-02-02 00:47:31,75
2021-02-02 00:47:46,79
2021-02-02 00:47:51,82
2021-02-02 00:47:56,80
2021-02-02 00:48:01,79
2021-02-02 00:48:06,78
2021-02-02 00:48:16,66
2021-02-02 00:48:21,64
2021-02-02 00:48:36,64
2021-02-02 00:48:46,63
2021-02-02 00:48:56,64
2021-02-02 00:49:06,65
2021-02-02 00:49:11,66
2021-02-02 00:49:16,67
2021-02-02 00:49:21,66
2021-02-02 00:49:31,71
2021-02-02 00:49:36,70
2021-02-02 00:49:41,69
2021-02-02 00:49:46,68
2021-02-02 00:49:56,69
2021-02-02 00:50:11,68
2021-02-02 00:50:16,67
2021-02-02 00:50:21,64
2021-02-02 00:50:26,64
2021-02-02 00:50:31,63
2021-02-02 00:50:36,61
2021-02-02 00:50:41,65
2021-02-02 00:50:46,64
2021-02-02 00:50:51,65
2021-02-02 00:50:56,66
2021-02-02 00:51:01,67
2021-02-02 00:51:11,68
2021-02-02 00:51:16,69
2021-02-02 00:51:26,68
2021-02-02 00:51:36,67
2021-02-02 00:51:41,66
2021-02-02 00:51:46,68
2021-02-02 00:51:51,68
2021-02-02 00:52:00,69
2021-02-02 00:52:10,71
2021-02-02 00:52:15,70
2021-02-02 00:52:20,69
2021-02-02 00:52:25,67
2021-02-02 00:52:30,68
2021-02-02 00:52:35,69
2021-02-02 00:52:40,69
2021-02-02 00:52:45,70
2021-02-02 00:52:55,69
2021-02-02 00:53:00,69
2021-02-02 00:53:05,69
2021-02-02 00:53:15,71
2021-02-02 00:53:20,75
2021-02-02 00:53:25,75
2021-02-02 00:53:40,75
2021-02-02 00:53:45,74
2021-02-02 00:53:50,71
2021-02-02 00:53:55,70
2021-02-02 00:54:00,69
2021-02-02 00:54:05,68
2021-02-02 00:54:10,64
2021-02-02 00:54:15,63
2021-02-02 00:54:20,64
2021-02-02 00:54:25,66
2021-02-02 00:54:30,67
2021-02-02 00:54:40,69
2021-02-02 00:54:45,69
2021-02-02 00:54:50,70
2021-02-02 00:54:55,71
2021-02-02 00:55:00,74
2021-02-02 00:55:05,75
2021-02-02 00:55:15,78
2021-02-02 00:55:20,77
2021-02-02 00:55:25,75
2021-02-02 00:55:30,74
2021-02-02 00:55:35,75
2021-02-02 00:55:40,75
2021-02-02 00:55:45,73
2021-02-02 00:55:50,72
2021-02-02 00:56:00,72
2021-02-02 00:56:05,74
2021-02-02 00:56:10,73
2021-02-02 00:56:15,72
2021-02-02 00:56:20,73
2021-02-02 00:56:35,72
2021-02-02 00:56:40,71
2021-02-02 00:56:45,70
2021-02-02 00:57:00,69
2021-02-02 00:57:05,69
2021-02-02 00:57:10,70
2021-02-02 00:57:20,69
2021-02-02 00:57:30,70
2021-02-02 00:57:35,69
2021-02-02 00:57:40,69
2021-02-02 00:57:45,71
2021-02-02 00:57:50,73
2021-02-02 00:57:55,74
2021-02-02 00:58:00,74
2021-02-02 00:58:10,75
2021-02-02 00:58:25,75
2021-02-02 00:58:35,75
2021-02-02 00:58:40,74
2021-02-02 00:58:45,75
2021-02-02 00:58:50,84
2021-02-02 00:58:55,83
2021-02-02 00:59:00,77
2021-02-02 00:59:05,72
2021-02-02 00:59:10,65
2021-02-02 00:59:15,62
2021-02-02 00:59:30,62
2021-02-02 00:59:40,66
2021-02-02 00:59:45,71
2021-02-02 00:59:50,72
2021-02-02 01:00:00,71
2021-02-02 01:00:05,71
2021-02-02 01:00:10,70
2021-02-02 01:00:25,71
2021-02-02 01:00:35,73
2021-02-02 01:00:40,73
2021-02-02 01:00:45,72
2021-02-02 01:01:00,75
2021-02-02 01:01:05,76
2021-02-02 01:01:20,74
2021-02-02 01:01:25,73
2021-02-02 01:01:30,72
2021-02-02 01:01:35,71
2021-02-02 01:01:50,71
2021-02-02 01:01:55,73
2021-02-02 01:02:00,72
2021-02-02 01:02:05,71
2021-02-02 01:02:10,70
2021-02-02 01:02:15,69
